Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/04/2021 19:11,799.5,22,82,289,1.5,578,36,12.7
11/04/2021 18:41,1624.5,70,84,441,88,678,42.2,113.75
11/04/2021 18:11,1670,85,86,436.5,120.5,673,45.5,133.35
11/04/2021 17:41,1801.5,65,82,457.5,73,684,35.5,111.15
11/04/2021 16:45,798.5,25,82,279.5,1,580,36.6,13.8
11/04/2021 16:15,1799,33,82,464.5,30.5,682,36.4,55.7
11/04/2021 15:45,1779,38,82,459,37.5,682,31.1,67
11/04/2021 15:15,1625,72,82,450.5,87.5,671,41.2,116.25
11/04/2021 13:01,801,25,82,285,1.5,581.5,43.7,13.55
11/04/2021 12:17,1837.5,65,83,450,73,686.5,52.5,92.05
11/04/2021 11:47,1821,41,84,450.5,84.5,687.5,44.7,79.1
11/04/2021 11:17,1296,28,83,429,5,636,40.6,26.7
11/04/2021 10:47,1624,100,84,441.5,133.5,655,40.4,155.1
11/04/2021 10:17,799.5,26,83,288,2,583.5,37.8,14
11/03/2021 17:34,1602,57,87,438,50,671,48.7,82.2
11/03/2021 17:04,800,22,82,285.5,1,582.5,41.8,12.85
11/03/2021 16:34,800,27,82,282.5,1.5,584,44.3,13.9
11/03/2021 16:04,1421,53,82,439,21.5,644,43.8,55.8
11/03/2021 15:34,1426,43,82,441,16.5,655.5,43,47.25
11/03/2021 14:00,799,22,82,283.5,1.5,570.5,45.2,13.05
11/03/2021 13:30,1786.5,88,84,449.5,106.5,626.5,45.8,139.75
11/03/2021 13:00,1775.5,86,84,451,82.5,674.5,44.8,140.35
11/03/2021 12:30,1783,73,83,451,90,677,43.4,124.8
11/03/2021 12:00,800.5,23,83,271.5,1.5,575.5,39.7,13.2
11/03/2021 11:30,1322.5,27,83,430.5,8,635.5,41,27.8
11/03/2021 10:23,800.5,27,82,290.5,2,582.5,36.2,14.15
11/02/2021 17:58,1590.5,51,84,443.5,36.5,666,44.6,67.95
11/02/2021 17:28,1518.5,6,82,436.5,9.5,639.5,46.1,16.5
11/02/2021 16:34,801,20,82,291,1.5,581.5,37.8,12.35
11/02/2021 16:04,1753.5,63,83,452,70,682.5,42.9,107.7
